age,sex,eq5d,sd
0,F,1.0,0.0
1,F,0.9933888888888889,0.0
2,F,0.9867777777777778,0.0
3,F,0.9801666666666666,0.0
4,F,0.9735555555555555,0.0
5,F,0.9669444444444445,0.0
6,F,0.9603333333333334,0.0
7,F,0.9537222222222222,0.0
8,F,0.9471111111111111,0.0
9,F,0.9405,0.0
10,F,0.9338888888888889,0.0
11,F,0.9272777777777778,0.0
12,F,0.9206666666666666,0.0
13,F,0.9140555555555555,0.0
14,F,0.9074444444444445,0.0
15,F,0.9008333333333334,0.0
16,F,0.8942222222222223,0.0
17,F,0.8876111111111111,0.0
18,F,0.881,0.1
19,F,0.881,0.1
20,F,0.881,0.1
21,F,0.881,0.1
22,F,0.881,0.1
23,F,0.881,0.1
24,F,0.881,0.1
25,F,0.892,0.074
26,F,0.892,0.074
27,F,0.892,0.074
28,F,0.892,0.074
29,F,0.892,0.074
30,F,0.892,0.074
31,F,0.892,0.074
32,F,0.892,0.074
33,F,0.892,0.074
34,F,0.892,0.074
35,F,0.876,0.102
36,F,0.876,0.102
37,F,0.876,0.102
38,F,0.876,0.102
39,F,0.876,0.102
40,F,0.876,0.102
41,F,0.876,0.102
42,F,0.876,0.102
43,F,0.876,0.102
44,F,0.876,0.102
45,F,0.861,0.124
46,F,0.861,0.124
47,F,0.861,0.124
48,F,0.861,0.124
49,F,0.861,0.124
50,F,0.861,0.124
51,F,0.861,0.124
52,F,0.861,0.124
53,F,0.861,0.124
54,F,0.861,0.124
55,F,0.851,0.13
56,F,0.851,0.13
57,F,0.851,0.13
58,F,0.851,0.13
59,F,0.851,0.13
60,F,0.851,0.13
61,F,0.851,0.13
62,F,0.851,0.13
63,F,0.851,0.13
64,F,0.851,0.13
65,F,0.864,0.107
66,F,0.864,0.107
67,F,0.864,0.107
68,F,0.864,0.107
69,F,0.864,0.107
70,F,0.864,0.107
71,F,0.864,0.107
72,F,0.864,0.107
73,F,0.864,0.107
74,F,0.864,0.107
75,F,0.864,0.113
76,F,0.864,0.113
77,F,0.864,0.113
78,F,0.864,0.113
79,F,0.864,0.113
80,F,0.864,0.113
81,F,0.864,0.113
82,F,0.864,0.113
83,F,0.864,0.113
84,F,0.864,0.113
85,F,0.864,0.113
86,F,0.864,0.113
87,F,0.864,0.113
88,F,0.864,0.113
89,F,0.864,0.113
90,F,0.864,0.113
91,F,0.864,0.113
92,F,0.864,0.113
93,F,0.864,0.113
94,F,0.864,0.113
95,F,0.864,0.113
96,F,0.864,0.113
97,F,0.864,0.113
98,F,0.864,0.113
99,F,0.864,0.113
100,F,0.864,0.113
101,F,0.864,0.113
102,F,0.864,0.113
103,F,0.864,0.113
104,F,0.864,0.113
105,F,0.864,0.113
106,F,0.864,0.113
107,F,0.864,0.113
108,F,0.864,0.113
109,F,0.864,0.113
110,F,0.864,0.113
111,F,0.864,0.113
0,M,1.0,0.0
1,M,0.9930555555555556,0.0
2,M,0.9861111111111112,0.0
3,M,0.9791666666666666,0.0
4,M,0.9722222222222222,0.0
5,M,0.9652777777777778,0.0
6,M,0.9583333333333334,0.0
7,M,0.9513888888888888,0.0
8,M,0.9444444444444444,0.0
9,M,0.9375,0.0
10,M,0.9305555555555556,0.0
11,M,0.9236111111111112,0.0
12,M,0.9166666666666666,0.0
13,M,0.9097222222222222,0.0
14,M,0.9027777777777778,0.0
15,M,0.8958333333333334,0.0
16,M,0.8888888888888888,0.0
17,M,0.8819444444444444,0.0
18,M,0.875,0.105
19,M,0.875,0.105
20,M,0.875,0.105
21,M,0.875,0.105
22,M,0.875,0.105
23,M,0.875,0.105
24,M,0.875,0.105
25,M,0.867,0.158
26,M,0.867,0.158
27,M,0.867,0.158
28,M,0.867,0.158
29,M,0.867,0.158
30,M,0.867,0.158
31,M,0.867,0.158
32,M,0.867,0.158
33,M,0.867,0.158
34,M,0.867,0.158
35,M,0.881,0.081
36,M,0.881,0.081
37,M,0.881,0.081
38,M,0.881,0.081
39,M,0.881,0.081
40,M,0.881,0.081
41,M,0.881,0.081
42,M,0.881,0.081
43,M,0.881,0.081
44,M,0.881,0.081
45,M,0.848,0.136
46,M,0.848,0.136
47,M,0.848,0.136
48,M,0.848,0.136
49,M,0.848,0.136
50,M,0.848,0.136
51,M,0.848,0.136
52,M,0.848,0.136
53,M,0.848,0.136
54,M,0.848,0.136
55,M,0.824,0.151
56,M,0.824,0.151
57,M,0.824,0.151
58,M,0.824,0.151
59,M,0.824,0.151
60,M,0.824,0.151
61,M,0.824,0.151
62,M,0.824,0.151
63,M,0.824,0.151
64,M,0.824,0.151
65,M,0.871,0.121
66,M,0.871,0.121
67,M,0.871,0.121
68,M,0.871,0.121
69,M,0.871,0.121
70,M,0.871,0.121
71,M,0.871,0.121
72,M,0.871,0.121
73,M,0.871,0.121
74,M,0.871,0.121
75,M,0.857,0.106
76,M,0.857,0.106
77,M,0.857,0.106
78,M,0.857,0.106
79,M,0.857,0.106
80,M,0.857,0.106
81,M,0.857,0.106
82,M,0.857,0.106
83,M,0.857,0.106
84,M,0.857,0.106
85,M,0.857,0.106
86,M,0.857,0.106
87,M,0.857,0.106
88,M,0.857,0.106
89,M,0.857,0.106
90,M,0.857,0.106
91,M,0.857,0.106
92,M,0.857,0.106
93,M,0.857,0.106
94,M,0.857,0.106
95,M,0.857,0.106
96,M,0.857,0.106
97,M,0.857,0.106
98,M,0.857,0.106
99,M,0.857,0.106
100,M,0.857,0.106
101,M,0.857,0.106
102,M,0.857,0.106
103,M,0.857,0.106
104,M,0.857,0.106
105,M,0.857,0.106
106,M,0.857,0.106
107,M,0.857,0.106
108,M,0.857,0.106
109,M,0.857,0.106
110,M,0.857,0.106
111,M,0.857,0.106
