year,age,sex,n_asthma
2001,0,F,0
2001,0,M,0
2001,1,F,0
2001,1,M,0
2001,2,F,0
2001,2,M,0
2001,3,F,205
2001,3,M,270
2001,4,F,299
2001,4,M,521
2001,5,F,359
2001,5,M,545
2001,6,F,405
2001,6,M,614
2001,7,F,459
2001,7,M,706
2001,8,F,543
2001,8,M,778
2001,9,F,640
2001,9,M,953
2001,10,F,714
2001,10,M,1016
2001,11,F,768
2001,11,M,1159
2001,12,F,771
2001,12,M,1249
2001,13,F,809
2001,13,M,1228
2001,14,F,818
2001,14,M,1273
2001,15,F,899
2001,15,M,1296
2001,16,F,882
2001,16,M,1289
2001,17,F,853
2001,17,M,1292
2001,18,F,887
2001,18,M,1235
2001,19,F,910
2001,19,M,1182
2001,20,F,907
2001,20,M,1096
2001,21,F,871
2001,21,M,1034
2001,22,F,802
2001,22,M,930
2001,23,F,774
2001,23,M,843
2001,24,F,759
2001,24,M,750
2001,25,F,698
2001,25,M,739
2001,26,F,632
2001,26,M,620
2001,27,F,636
2001,27,M,575
2001,28,F,562
2001,28,M,498
2001,29,F,618
2001,29,M,487
2001,30,F,583
2001,30,M,461
2001,31,F,586
2001,31,M,464
2001,32,F,575
2001,32,M,378
2001,33,F,533
2001,33,M,352
2001,34,F,495
2001,34,M,337
2001,35,F,563
2001,35,M,337
2001,36,F,567
2001,36,M,348
2001,37,F,597
2001,37,M,300
2001,38,F,562
2001,38,M,331
2001,39,F,508
2001,39,M,307
2001,40,F,570
2001,40,M,303
2001,41,F,484
2001,41,M,290
2001,42,F,544
2001,42,M,263
2001,43,F,511
2001,43,M,250
2001,44,F,503
2001,44,M,235
2001,45,F,502
2001,45,M,240
2001,46,F,486
2001,46,M,266
2001,47,F,480
2001,47,M,204
2001,48,F,425
2001,48,M,221
2001,49,F,447
2001,49,M,238
2001,50,F,419
2001,50,M,227
2001,51,F,428
2001,51,M,252
2001,52,F,427
2001,52,M,235
2001,53,F,406
2001,53,M,260
2001,54,F,450
2001,54,M,265
2001,55,F,385
2001,55,M,219
2001,56,F,335
2001,56,M,225
2001,57,F,352
2001,57,M,217
2001,58,F,344
2001,58,M,249
2001,59,F,321
2001,59,M,219
2001,60,F,353
2001,60,M,212
2001,61,F,326
2001,61,M,205
2001,62,F,294
2001,62,M,202
2001,63,F,273
2001,63,M,168
2001,64,F,257
2001,64,M,136
2001,65,F,248
2001,65,M,146
2001,66,F,248
2001,66,M,155
2001,67,F,266
2001,67,M,155
2001,68,F,259
2001,68,M,157
2001,69,F,253
2001,69,M,147
2001,70,F,225
2001,70,M,158
2001,71,F,263
2001,71,M,116
2001,72,F,235
2001,72,M,127
2001,73,F,215
2001,73,M,115
2001,74,F,234
2001,74,M,99
2001,75,F,226
2001,75,M,103
2001,76,F,188
2001,76,M,89
2001,77,F,217
2001,77,M,90
2001,78,F,222
2001,78,M,105
2001,79,F,189
2001,79,M,71
2001,80,F,194
2001,80,M,85
2001,81,F,161
2001,81,M,58
2001,82,F,143
2001,82,M,46
2001,83,F,134
2001,83,M,52
2001,84,F,117
2001,84,M,39
2001,85,F,107
2001,85,M,34
2001,86,F,93
2001,86,M,27
2001,87,F,70
2001,87,M,19
2001,88,F,65
2001,88,M,22
2001,89,F,54
2001,89,M,19
2001,90,F,49
2001,90,M,16
2001,91,F,33
2001,91,M,12
2001,92,F,27
2001,92,M,8
2001,93,F,20
2001,93,M,4
2001,94,F,21
2001,94,M,6
2001,95,F,17
2001,95,M,0
2001,96,F,16
2001,96,M,0
2001,97,F,4
2001,97,M,1
2001,98,F,4
2001,98,M,0
2001,99,F,3
2001,99,M,0
2001,100,F,1
2001,100,M,1
2001,101,F,0
2001,101,M,0
2001,102,F,0
2001,102,M,0
2001,103,F,0
2001,103,M,0
2001,104,F,0
2001,104,M,0
2001,105,F,0
2001,105,M,0
2001,106,F,0
2001,106,M,0
2001,107,F,0
2001,107,M,0
2001,108,F,0
2001,108,M,0
2001,109,F,0
2001,109,M,0
2001,110,F,0
2001,110,M,0
2002,0,F,0
2002,0,M,0
2002,1,F,0
2002,1,M,0
2002,2,F,0
2002,2,M,0
2002,3,F,217
2002,3,M,289
2002,4,F,313
2002,4,M,457
2002,5,F,371
2002,5,M,666
2002,6,F,436
2002,6,M,686
2002,7,F,478
2002,7,M,698
2002,8,F,531
2002,8,M,801
2002,9,F,601
2002,9,M,850
2002,10,F,705
2002,10,M,997
2002,11,F,748
2002,11,M,1081
2002,12,F,815
2002,12,M,1198
2002,13,F,808
2002,13,M,1282
2002,14,F,830
2002,14,M,1228
2002,15,F,836
2002,15,M,1258
2002,16,F,927
2002,16,M,1296
2002,17,F,922
2002,17,M,1296
2002,18,F,872
2002,18,M,1289
2002,19,F,907
2002,19,M,1271
2002,20,F,935
2002,20,M,1204
2002,21,F,929
2002,21,M,1107
2002,22,F,886
2002,22,M,1049
2002,23,F,810
2002,23,M,946
2002,24,F,799
2002,24,M,849
2002,25,F,782
2002,25,M,748
2002,26,F,714
2002,26,M,738
2002,27,F,658
2002,27,M,638
2002,28,F,660
2002,28,M,594
2002,29,F,586
2002,29,M,526
2002,30,F,630
2002,30,M,508
2002,31,F,621
2002,31,M,487
2002,32,F,619
2002,32,M,480
2002,33,F,582
2002,33,M,403
2002,34,F,570
2002,34,M,380
2002,35,F,547
2002,35,M,357
2002,36,F,596
2002,36,M,375
2002,37,F,606
2002,37,M,387
2002,38,F,637
2002,38,M,330
2002,39,F,603
2002,39,M,369
2002,40,F,561
2002,40,M,341
2002,41,F,616
2002,41,M,330
2002,42,F,530
2002,42,M,325
2002,43,F,572
2002,43,M,294
2002,44,F,540
2002,44,M,289
2002,45,F,540
2002,45,M,262
2002,46,F,551
2002,46,M,266
2002,47,F,519
2002,47,M,290
2002,48,F,534
2002,48,M,237
2002,49,F,461
2002,49,M,231
2002,50,F,474
2002,50,M,260
2002,51,F,455
2002,51,M,241
2002,52,F,455
2002,52,M,283
2002,53,F,456
2002,53,M,249
2002,54,F,427
2002,54,M,277
2002,55,F,485
2002,55,M,274
2002,56,F,400
2002,56,M,236
2002,57,F,350
2002,57,M,245
2002,58,F,379
2002,58,M,239
2002,59,F,377
2002,59,M,267
2002,60,F,359
2002,60,M,230
2002,61,F,380
2002,61,M,235
2002,62,F,358
2002,62,M,224
2002,63,F,310
2002,63,M,215
2002,64,F,296
2002,64,M,171
2002,65,F,276
2002,65,M,140
2002,66,F,264
2002,66,M,157
2002,67,F,256
2002,67,M,155
2002,68,F,281
2002,68,M,175
2002,69,F,269
2002,69,M,162
2002,70,F,271
2002,70,M,158
2002,71,F,248
2002,71,M,169
2002,72,F,270
2002,72,M,135
2002,73,F,248
2002,73,M,135
2002,74,F,226
2002,74,M,119
2002,75,F,245
2002,75,M,95
2002,76,F,235
2002,76,M,106
2002,77,F,203
2002,77,M,86
2002,78,F,218
2002,78,M,96
2002,79,F,229
2002,79,M,110
2002,80,F,201
2002,80,M,71
2002,81,F,198
2002,81,M,81
2002,82,F,170
2002,82,M,56
2002,83,F,148
2002,83,M,43
2002,84,F,135
2002,84,M,52
2002,85,F,113
2002,85,M,37
2002,86,F,102
2002,86,M,31
2002,87,F,93
2002,87,M,27
2002,88,F,69
2002,88,M,20
2002,89,F,60
2002,89,M,17
2002,90,F,51
2002,90,M,17
2002,91,F,49
2002,91,M,13
2002,92,F,34
2002,92,M,11
2002,93,F,25
2002,93,M,6
2002,94,F,17
2002,94,M,3
2002,95,F,14
2002,95,M,4
2002,96,F,14
2002,96,M,0
2002,97,F,13
2002,97,M,0
2002,98,F,1
2002,98,M,0
2002,99,F,2
2002,99,M,0
2002,100,F,5
2002,100,M,0
2002,101,F,1
2002,101,M,1
2002,102,F,0
2002,102,M,0
2002,103,F,0
2002,103,M,0
2002,104,F,0
2002,104,M,0
2002,105,F,0
2002,105,M,0
2002,106,F,0
2002,106,M,0
2002,107,F,0
2002,107,M,0
2002,108,F,0
2002,108,M,0
2002,109,F,0
2002,109,M,0
2002,110,F,0
2002,110,M,0
2003,0,F,0
2003,0,M,0
2003,1,F,0
2003,1,M,0
2003,2,F,0
2003,2,M,0
2003,3,F,227
2003,3,M,297
2003,4,F,302
2003,4,M,464
2003,5,F,384
2003,5,M,593
2003,6,F,447
2003,6,M,783
2003,7,F,519
2003,7,M,785
2003,8,F,550
2003,8,M,770
2003,9,F,596
2003,9,M,866
2003,10,F,662
2003,10,M,908
2003,11,F,767
2003,11,M,1025
2003,12,F,806
2003,12,M,1118
2003,13,F,870
2003,13,M,1220
2003,14,F,841
2003,14,M,1288
2003,15,F,857
2003,15,M,1232
2003,16,F,870
2003,16,M,1259
2003,17,F,947
2003,17,M,1292
2003,18,F,943
2003,18,M,1301
2003,19,F,897
2003,19,M,1300
2003,20,F,921
2003,20,M,1279
2003,21,F,951
2003,21,M,1196
2003,22,F,936
2003,22,M,1111
2003,23,F,881
2003,23,M,1065
2003,24,F,825
2003,24,M,944
2003,25,F,818
2003,25,M,858
2003,26,F,789
2003,26,M,763
2003,27,F,723
2003,27,M,748
2003,28,F,683
2003,28,M,656
2003,29,F,679
2003,29,M,619
2003,30,F,604
2003,30,M,548
2003,31,F,661
2003,31,M,537
2003,32,F,653
2003,32,M,497
2003,33,F,652
2003,33,M,498
2003,34,F,603
2003,34,M,420
2003,35,F,595
2003,35,M,406
2003,36,F,574
2003,36,M,378
2003,37,F,630
2003,37,M,398
2003,38,F,637
2003,38,M,420
2003,39,F,678
2003,39,M,367
2003,40,F,666
2003,40,M,416
2003,41,F,605
2003,41,M,361
2003,42,F,666
2003,42,M,352
2003,43,F,563
2003,43,M,352
2003,44,F,600
2003,44,M,326
2003,45,F,580
2003,45,M,305
2003,46,F,579
2003,46,M,282
2003,47,F,579
2003,47,M,292
2003,48,F,547
2003,48,M,307
2003,49,F,571
2003,49,M,267
2003,50,F,481
2003,50,M,251
2003,51,F,515
2003,51,M,276
2003,52,F,482
2003,52,M,259
2003,53,F,491
2003,53,M,308
2003,54,F,474
2003,54,M,274
2003,55,F,459
2003,55,M,293
2003,56,F,507
2003,56,M,304
2003,57,F,425
2003,57,M,247
2003,58,F,378
2003,58,M,256
2003,59,F,398
2003,59,M,262
2003,60,F,399
2003,60,M,290
2003,61,F,385
2003,61,M,246
2003,62,F,421
2003,62,M,257
2003,63,F,366
2003,63,M,227
2003,64,F,337
2003,64,M,224
2003,65,F,303
2003,65,M,179
2003,66,F,290
2003,66,M,143
2003,67,F,281
2003,67,M,170
2003,68,F,269
2003,68,M,161
2003,69,F,291
2003,69,M,173
2003,70,F,279
2003,70,M,168
2003,71,F,282
2003,71,M,170
2003,72,F,264
2003,72,M,166
2003,73,F,281
2003,73,M,140
2003,74,F,250
2003,74,M,139
2003,75,F,233
2003,75,M,128
2003,76,F,246
2003,76,M,99
2003,77,F,235
2003,77,M,109
2003,78,F,209
2003,78,M,93
2003,79,F,214
2003,79,M,90
2003,80,F,239
2003,80,M,102
2003,81,F,206
2003,81,M,67
2003,82,F,191
2003,82,M,73
2003,83,F,176
2003,83,M,52
2003,84,F,146
2003,84,M,40
2003,85,F,129
2003,85,M,46
2003,86,F,108
2003,86,M,39
2003,87,F,98
2003,87,M,29
2003,88,F,90
2003,88,M,27
2003,89,F,63
2003,89,M,15
2003,90,F,57
2003,90,M,20
2003,91,F,41
2003,91,M,18
2003,92,F,41
2003,92,M,10
2003,93,F,30
2003,93,M,11
2003,94,F,25
2003,94,M,5
2003,95,F,13
2003,95,M,4
2003,96,F,11
2003,96,M,5
2003,97,F,12
2003,97,M,1
2003,98,F,7
2003,98,M,0
2003,99,F,1
2003,99,M,0
2003,100,F,8
2003,100,M,0
2003,101,F,4
2003,101,M,0
2003,102,F,1
2003,102,M,1
2003,103,F,0
2003,103,M,0
2003,104,F,0
2003,104,M,0
2003,105,F,0
2003,105,M,0
2003,106,F,0
2003,106,M,0
2003,107,F,0
2003,107,M,0
2003,108,F,0
2003,108,M,0
2003,109,F,0
2003,109,M,0
2003,110,F,0
2003,110,M,0
2004,0,F,0
2004,0,M,0
2004,1,F,0
2004,1,M,0
2004,2,F,0
2004,2,M,0
2004,3,F,195
2004,3,M,308
2004,4,F,326
2004,4,M,498
2004,5,F,396
2004,5,M,605
2004,6,F,443
2004,6,M,698
2004,7,F,511
2004,7,M,890
2004,8,F,594
2004,8,M,856
2004,9,F,625
2004,9,M,838
2004,10,F,649
2004,10,M,921
2004,11,F,727
2004,11,M,939
2004,12,F,816
2004,12,M,1053
2004,13,F,824
2004,13,M,1140
2004,14,F,905
2004,14,M,1229
2004,15,F,857
2004,15,M,1294
2004,16,F,881
2004,16,M,1240
2004,17,F,901
2004,17,M,1252
2004,18,F,955
2004,18,M,1278
2004,19,F,960
2004,19,M,1299
2004,20,F,919
2004,20,M,1302
2004,21,F,939
2004,21,M,1283
2004,22,F,962
2004,22,M,1207
2004,23,F,943
2004,23,M,1114
2004,24,F,895
2004,24,M,1070
2004,25,F,833
2004,25,M,955
2004,26,F,833
2004,26,M,864
2004,27,F,792
2004,27,M,775
2004,28,F,735
2004,28,M,768
2004,29,F,700
2004,29,M,671
2004,30,F,713
2004,30,M,639
2004,31,F,633
2004,31,M,570
2004,32,F,687
2004,32,M,552
2004,33,F,677
2004,33,M,515
2004,34,F,689
2004,34,M,512
2004,35,F,621
2004,35,M,446
2004,36,F,637
2004,36,M,427
2004,37,F,601
2004,37,M,407
2004,38,F,652
2004,38,M,418
2004,39,F,680
2004,39,M,451
2004,40,F,728
2004,40,M,392
2004,41,F,716
2004,41,M,447
2004,42,F,650
2004,42,M,393
2004,43,F,709
2004,43,M,383
2004,44,F,613
2004,44,M,386
2004,45,F,637
2004,45,M,357
2004,46,F,622
2004,46,M,327
2004,47,F,619
2004,47,M,305
2004,48,F,629
2004,48,M,318
2004,49,F,578
2004,49,M,332
2004,50,F,600
2004,50,M,297
2004,51,F,525
2004,51,M,276
2004,52,F,549
2004,52,M,291
2004,53,F,515
2004,53,M,285
2004,54,F,501
2004,54,M,318
2004,55,F,518
2004,55,M,290
2004,56,F,494
2004,56,M,311
2004,57,F,540
2004,57,M,318
2004,58,F,453
2004,58,M,270
2004,59,F,401
2004,59,M,280
2004,60,F,424
2004,60,M,285
2004,61,F,424
2004,61,M,312
2004,62,F,417
2004,62,M,269
2004,63,F,438
2004,63,M,255
2004,64,F,391
2004,64,M,226
2004,65,F,344
2004,65,M,218
2004,66,F,317
2004,66,M,179
2004,67,F,302
2004,67,M,156
2004,68,F,303
2004,68,M,170
2004,69,F,281
2004,69,M,160
2004,70,F,304
2004,70,M,179
2004,71,F,296
2004,71,M,167
2004,72,F,301
2004,72,M,191
2004,73,F,272
2004,73,M,166
2004,74,F,291
2004,74,M,148
2004,75,F,257
2004,75,M,140
2004,76,F,247
2004,76,M,135
2004,77,F,250
2004,77,M,104
2004,78,F,258
2004,78,M,113
2004,79,F,215
2004,79,M,101
2004,80,F,214
2004,80,M,90
2004,81,F,230
2004,81,M,92
2004,82,F,197
2004,82,M,67
2004,83,F,191
2004,83,M,72
2004,84,F,180
2004,84,M,49
2004,85,F,149
2004,85,M,35
2004,86,F,122
2004,86,M,41
2004,87,F,111
2004,87,M,36
2004,88,F,91
2004,88,M,31
2004,89,F,86
2004,89,M,27
2004,90,F,57
2004,90,M,14
2004,91,F,50
2004,91,M,20
2004,92,F,38
2004,92,M,15
2004,93,F,37
2004,93,M,8
2004,94,F,27
2004,94,M,10
2004,95,F,18
2004,95,M,3
2004,96,F,14
2004,96,M,4
2004,97,F,7
2004,97,M,3
2004,98,F,8
2004,98,M,0
2004,99,F,4
2004,99,M,0
2004,100,F,9
2004,100,M,0
2004,101,F,8
2004,101,M,0
2004,102,F,4
2004,102,M,0
2004,103,F,0
2004,103,M,0
2004,104,F,0
2004,104,M,0
2004,105,F,0
2004,105,M,0
2004,106,F,0
2004,106,M,0
2004,107,F,0
2004,107,M,0
2004,108,F,0
2004,108,M,0
2004,109,F,0
2004,109,M,0
2004,110,F,0
2004,110,M,0
2005,0,F,0
2005,0,M,0
2005,1,F,0
2005,1,M,0
2005,2,F,0
2005,2,M,0
2005,3,F,244
2005,3,M,326
2005,4,F,305
2005,4,M,510
2005,5,F,385
2005,5,M,649
2005,6,F,472
2005,6,M,701
2005,7,F,519
2005,7,M,796
2005,8,F,578
2005,8,M,965
2005,9,F,655
2005,9,M,914
2005,10,F,684
2005,10,M,891
2005,11,F,697
2005,11,M,969
2005,12,F,767
2005,12,M,969
2005,13,F,871
2005,13,M,1076
2005,14,F,865
2005,14,M,1146
2005,15,F,931
2005,15,M,1228
2005,16,F,886
2005,16,M,1291
2005,17,F,891
2005,17,M,1254
2005,18,F,908
2005,18,M,1238
2005,19,F,955
2005,19,M,1301
2005,20,F,959
2005,20,M,1316
2005,21,F,941
2005,21,M,1296
2005,22,F,958
2005,22,M,1282
2005,23,F,969
2005,23,M,1202
2005,24,F,941
2005,24,M,1110
2005,25,F,911
2005,25,M,1062
2005,26,F,845
2005,26,M,955
2005,27,F,852
2005,27,M,874
2005,28,F,817
2005,28,M,785
2005,29,F,752
2005,29,M,784
2005,30,F,717
2005,30,M,680
2005,31,F,745
2005,31,M,645
2005,32,F,671
2005,32,M,585
2005,33,F,723
2005,33,M,570
2005,34,F,702
2005,34,M,543
2005,35,F,715
2005,35,M,548
2005,36,F,673
2005,36,M,471
2005,37,F,663
2005,37,M,440
2005,38,F,632
2005,38,M,429
2005,39,F,691
2005,39,M,440
2005,40,F,725
2005,40,M,482
2005,41,F,772
2005,41,M,424
2005,42,F,765
2005,42,M,472
2005,43,F,694
2005,43,M,420
2005,44,F,743
2005,44,M,407
2005,45,F,674
2005,45,M,408
2005,46,F,688
2005,46,M,385
2005,47,F,676
2005,47,M,353
2005,48,F,650
2005,48,M,334
2005,49,F,653
2005,49,M,342
2005,50,F,611
2005,50,M,357
2005,51,F,639
2005,51,M,324
2005,52,F,568
2005,52,M,296
2005,53,F,582
2005,53,M,315
2005,54,F,540
2005,54,M,306
2005,55,F,526
2005,55,M,339
2005,56,F,544
2005,56,M,298
2005,57,F,510
2005,57,M,336
2005,58,F,567
2005,58,M,330
2005,59,F,481
2005,59,M,283
2005,60,F,440
2005,60,M,295
2005,61,F,451
2005,61,M,306
2005,62,F,467
2005,62,M,339
2005,63,F,433
2005,63,M,290
2005,64,F,447
2005,64,M,275
2005,65,F,407
2005,65,M,231
2005,66,F,354
2005,66,M,220
2005,67,F,323
2005,67,M,182
2005,68,F,308
2005,68,M,168
2005,69,F,316
2005,69,M,179
2005,70,F,301
2005,70,M,164
2005,71,F,307
2005,71,M,176
2005,72,F,303
2005,72,M,181
2005,73,F,297
2005,73,M,190
2005,74,F,283
2005,74,M,166
2005,75,F,294
2005,75,M,159
2005,76,F,265
2005,76,M,140
2005,77,F,249
2005,77,M,132
2005,78,F,265
2005,78,M,105
2005,79,F,257
2005,79,M,115
2005,80,F,213
2005,80,M,97
2005,81,F,209
2005,81,M,88
2005,82,F,233
2005,82,M,93
2005,83,F,195
2005,83,M,62
2005,84,F,196
2005,84,M,65
2005,85,F,181
2005,85,M,49
2005,86,F,142
2005,86,M,34
2005,87,F,120
2005,87,M,32
2005,88,F,101
2005,88,M,31
2005,89,F,82
2005,89,M,30
2005,90,F,77
2005,90,M,23
2005,91,F,52
2005,91,M,11
2005,92,F,43
2005,92,M,16
2005,93,F,36
2005,93,M,10
2005,94,F,30
2005,94,M,8
2005,95,F,21
2005,95,M,9
2005,96,F,12
2005,96,M,3
2005,97,F,10
2005,97,M,4
2005,98,F,5
2005,98,M,4
2005,99,F,7
2005,99,M,0
2005,100,F,11
2005,100,M,1
2005,101,F,4
2005,101,M,0
2005,102,F,9
2005,102,M,0
2005,103,F,5
2005,103,M,0
2005,104,F,0
2005,104,M,0
2005,105,F,0
2005,105,M,0
2005,106,F,0
2005,106,M,0
2005,107,F,0
2005,107,M,0
2005,108,F,0
2005,108,M,0
2005,109,F,0
2005,109,M,0
2005,110,F,0
2005,110,M,0
2006,0,F,0
2006,0,M,0
2006,1,F,0
2006,1,M,0
2006,2,F,0
2006,2,M,0
2006,3,F,211
2006,3,M,386
2006,4,F,334
2006,4,M,497
2006,5,F,375
2006,5,M,656
2006,6,F,458
2006,6,M,779
2006,7,F,525
2006,7,M,790
2006,8,F,566
2006,8,M,883
2006,9,F,638
2006,9,M,1022
2006,10,F,703
2006,10,M,970
2006,11,F,730
2006,11,M,942
2006,12,F,750
2006,12,M,991
2006,13,F,807
2006,13,M,988
2006,14,F,905
2006,14,M,1084
2006,15,F,898
2006,15,M,1130
2006,16,F,948
2006,16,M,1243
2006,17,F,913
2006,17,M,1293
2006,18,F,909
2006,18,M,1261
2006,19,F,942
2006,19,M,1236
2006,20,F,961
2006,20,M,1290
2006,21,F,969
2006,21,M,1308
2006,22,F,956
2006,22,M,1278
2006,23,F,959
2006,23,M,1283
2006,24,F,993
2006,24,M,1200
2006,25,F,953
2006,25,M,1116
2006,26,F,912
2006,26,M,1059
2006,27,F,864
2006,27,M,971
2006,28,F,887
2006,28,M,884
2006,29,F,846
2006,29,M,801
2006,30,F,790
2006,30,M,792
2006,31,F,739
2006,31,M,697
2006,32,F,774
2006,32,M,653
2006,33,F,706
2006,33,M,602
2006,34,F,748
2006,34,M,581
2006,35,F,740
2006,35,M,562
2006,36,F,743
2006,36,M,579
2006,37,F,708
2006,37,M,493
2006,38,F,697
2006,38,M,465
2006,39,F,658
2006,39,M,453
2006,40,F,725
2006,40,M,465
2006,41,F,772
2006,41,M,509
2006,42,F,810
2006,42,M,448
2006,43,F,805
2006,43,M,495
2006,44,F,745
2006,44,M,445
2006,45,F,782
2006,45,M,428
2006,46,F,699
2006,46,M,434
2006,47,F,724
2006,47,M,407
2006,48,F,712
2006,48,M,382
2006,49,F,679
2006,49,M,354
2006,50,F,700
2006,50,M,367
2006,51,F,657
2006,51,M,387
2006,52,F,664
2006,52,M,348
2006,53,F,615
2006,53,M,314
2006,54,F,608
2006,54,M,336
2006,55,F,580
2006,55,M,323
2006,56,F,553
2006,56,M,356
2006,57,F,580
2006,57,M,314
2006,58,F,537
2006,58,M,355
2006,59,F,591
2006,59,M,348
2006,60,F,506
2006,60,M,310
2006,61,F,472
2006,61,M,321
2006,62,F,481
2006,62,M,326
2006,63,F,481
2006,63,M,341
2006,64,F,451
2006,64,M,313
2006,65,F,446
2006,65,M,268
2006,66,F,421
2006,66,M,237
2006,67,F,379
2006,67,M,218
2006,68,F,336
2006,68,M,195
2006,69,F,328
2006,69,M,172
2006,70,F,335
2006,70,M,180
2006,71,F,317
2006,71,M,178
2006,72,F,325
2006,72,M,176
2006,73,F,309
2006,73,M,181
2006,74,F,302
2006,74,M,183
2006,75,F,291
2006,75,M,168
2006,76,F,294
2006,76,M,157
2006,77,F,274
2006,77,M,136
2006,78,F,262
2006,78,M,136
2006,79,F,267
2006,79,M,100
2006,80,F,264
2006,80,M,117
2006,81,F,209
2006,81,M,93
2006,82,F,214
2006,82,M,87
2006,83,F,232
2006,83,M,93
2006,84,F,195
2006,84,M,63
2006,85,F,188
2006,85,M,57
2006,86,F,177
2006,86,M,44
2006,87,F,137
2006,87,M,32
2006,88,F,115
2006,88,M,31
2006,89,F,87
2006,89,M,24
2006,90,F,84
2006,90,M,24
2006,91,F,71
2006,91,M,16
2006,92,F,47
2006,92,M,11
2006,93,F,36
2006,93,M,15
2006,94,F,30
2006,94,M,6
2006,95,F,29
2006,95,M,5
2006,96,F,17
2006,96,M,9
2006,97,F,12
2006,97,M,0
2006,98,F,7
2006,98,M,2
2006,99,F,6
2006,99,M,1
2006,100,F,9
2006,100,M,0
2006,101,F,7
2006,101,M,1
2006,102,F,4
2006,102,M,0
2006,103,F,7
2006,103,M,0
2006,104,F,2
2006,104,M,0
2006,105,F,0
2006,105,M,0
2006,106,F,0
2006,106,M,0
2006,107,F,0
2006,107,M,0
2006,108,F,0
2006,108,M,0
2006,109,F,0
2006,109,M,0
2006,110,F,0
2006,110,M,0
2007,0,F,0
2007,0,M,0
2007,1,F,0
2007,1,M,0
2007,2,F,0
2007,2,M,0
2007,3,F,258
2007,3,M,424
2007,4,F,282
2007,4,M,501
2007,5,F,399
2007,5,M,656
2007,6,F,443
2007,6,M,766
2007,7,F,530
2007,7,M,874
2007,8,F,590
2007,8,M,865
2007,9,F,636
2007,9,M,933
2007,10,F,696
2007,10,M,1060
